	Class A B C D E F G H I J K L M N O P Q R S T U V X Y W Z AA BB
297	0 -12.93 -6.466 NA 190 -11.36 -22.94 2.75 -0.5494 107.3 -179.2 92.5 153.3 6.649 68.42 171.4 -180.5 75.81 85.1 111.06 -199.15 -279.29 100.66 203.43 -103.5 -270.82 289.64 34.06 -30.48
298	0 -8.097 5.951 -99.94 150 37.5 26.35 -8.92 -25.78 89.39 -163.6 70.32 216.5 69.49 21.9 -43.67 -117.3 130.9 92.19 -202.09 -341.85 -170.36 88.6 -346.58 194.22 -249.25 -274.49 216.99 25.55
299	0 50.61 45.3 124.8 30 -125 -34.52 -70.16 135.3 -101.4 -55.51 108.5 29.37 114 70.2 10.01 2.126 96.79 -101.6 -212.98 -147.67 68.52 -207.34 -66.88 104.47 251.16 -61.24 452.81 229.56
300	0 -7.085 -8.543 10.95 180 23.26 60.4 30.89 31.84 55.45 -268.6 21.62 206.2 102.2 76.24 -19.67 -103.8 139.3 146.9 128.04 -154.3 -279.53 -126.73 -15.64 -29.47 17.25 -161.42 142.32 56.75
301	0 50.61 50.3 -59.04 90 -161.8 -15.95 -60.98 124.8 -92.51 -41.57 106 25.32 45.72 143.7 -82.19 -111.3 37.53 -54.04 -308.98 -139.44 57.04 -330.45 -312.35 118.12 155.63 -210.75 66.86 -219.77
302	0 40.49 40.24 39.78 100 0 -123.2 -76.29 -106.3 36.54 -20.16 -24.57 52.76 -17.4 51.08 -80.92 -70.64 50.41 38.16 -207.41 119.91 268.66 -312.79 -334.88 -86.6 -45.28 -186.5 256.76 -15.71
303	0 10.12 20.06 -97.24 90 -44.12 -14.91 -27.29 11.75 -59.69 -132.7 39.19 142.7 -11.46 163.8 -105.6 -96.02 100.7 133.3 -236.86 -263.15 -8.96 -132.15 298.08 -124.17 94.98 -43.47 -40.94 92.52
304	0 -31.87 -17.86 -172.2 210 0 121.5 5.376 -6.856 19.2 -202.9 36.94 294.1 72.52 2.771 151.6 -178.1 119.1 220.6 60.38 -297.89 -117.58 60.75 -327.97 121.55 -66.73 362.3 51.5 46.68
305	0 10.96 15.09 29.34 60 -129 -54.59 -56.27 157.1 -85.44 -49.86 117.3 15.62 72.52 127.2 18.04 -25.5 91.16 -32.47 95.02 286.36 36.12 81.66 300.07 -24.72 127.2 320.84 579.23 -11.23
306	0 5.976 4.911 -92.69 120 13.51 -45.45 -10.03 -4.871 55.97 -197.9 147.2 12.29 57.33 189.4 44.86 -91.62 120.5 52.84 172.33 296.72 -131.74 -14.37 57.96 -212.89 275.97 38.71 46.25 -169.26
307	0 8.021 11.36 -166.4 30 -160.7 46.78 -57.7 86.8 -177.1 -20.11 191 -36.86 134.8 63.27 -158.5 -0.6671 63.76 -132.9 -71.52 -259.66 -97.36 -38.26 -128.9 -73.95 241.82 326.6 225.65 40.04
308	0 1.526e-05 7.629e-06 15.75 120 -13.51 -75.51 -32.58 11.39 15.94 -116.7 37.93 85.91 -104.7 119.6 2.781 -143.9 85.8 46.14 -53.18 78.29 -171.38 79.8 17.23 -53.11 -288.88 387.12 -66.57 -174.92
309	0 14.71 7.353 -116.5 30 -142.9 11.84 -32.58 21.64 -59.19 9.069 101.1 -93.29 109.4 226.3 -65.12 28.56 205.9 7.44 -179.08 159.67 -40.34 269.67 -306.12 -29.6 -297.84 -267.74 390.56 184.87
310	0 52.14 26.07 147.3 140 -25.64 -49.31 -53.51 43.73 86.56 -64.09 56.18 140 -36.72 -25.29 67.04 -44.99 31.09 56.77 -270.32 -180.03 120.26 -299.37 -171.86 -147.25 135.55 90.07 -49.99 -0.05
311	0 -4.728 -8.943 -33.62 180 -34.88 -24.71 -18.51 17.04 55.8 -128 78.01 174.5 -3.578 -27.61 NA -90.86 137.4 130.7 196.81 -282.88 -182.92 156.16 39.5 -253.58 281.35 -298.53 -141.67 -184.17
312	0 -26 -13 -1.523 160 -73.17 -38.64 -26.44 212 17.23 -130.2 109.1 104.6 0.414 128.9 183.9 -128 20.28 31.12 195.66 142.92 -65.31 -55.98 -186.89 324.94 -297.34 221.67 104.96 -191.71
313	0 0 -6.579 3.455 180 -46.51 -15.84 -26.44 99.52 20.99 -63.4 7.448 163.5 -60.8 -25.92 53.97 -118.8 -19.63 121.9 -331.1 -227.21 167.39 -105.85 -246.93 -208.91 -171.05 260.6 329.36 -59.98
314	0 -5.319 -2.66 -32.29 110 -41.67 31.01 -18.51 68.15 -13.82 -96.54 138.5 136.6 -30.19 107.1 -11 -117.1 152.2 50.51 -227.96 -305.7 -81.53 -288.23 64.86 128.24 287.48 60.88 419.88 -225.74
315	0 0.5631 7.038 -48.28 160 12.2 -29.94 -15.95 -45.9 25.77 -161.6 -30.81 223.8 -90.81 16.77 -28.19 -133.7 -39.58 117.4 -55.97 -257.31 129.72 -126.91 -364.56 112 -31.02 -147.38 378.01 159.39
316	0 3.941 5.349 -6.44 150 -37.5 -13.81 -23.92 109.4 -52.32 -123 75.6 170.1 -92.42 55.06 -14.87 -161.5 68.24 106.1 -207.18 -144.07 357.99 111.41 -46.26 176.92 -312.81 87.01 -148.77 183.11
317	0 13.51 20.27 -6.769 50 -66.67 -39.16 -63.79 31.76 -55.57 -19.22 71.98 -30.75 22.22 131.7 -56.49 -28.39 31.06 3.843 178.44 268.82 390.01 -57.24 -72.16 -239.44 -94.61 -164.09 -85.19 -217.85
318	0 NA -5.727 -122.4 160 -24.39 -44.13 13.97 32.35 63.9 -166.1 105.8 95.85 -123.4 48.57 21.68 -118.3 106 95.39 254.3 270.08 -164.01 -140.98 -25.5 210.62 -239.19 219.14 375.98 -120.43
319	0 10.31 12.1 -36.53 90 -88.24 -33.49 -60 22.93 30.97 4.444 41.37 28.03 0.2197 72.87 119 -73.55 66.53 8.531 287.65 -75.37 167.28 55.26 310.14 264.74 -236.67 -138.22 368.32 178.25
320	0 -5.799 -6.372 -37.79 120 -13.51 -7.487 -8.219 -26.87 51.23 -62.39 147.9 78.37 16.29 79.42 71.47 -45.62 171 84.54 -285.72 130.47 -102.47 -248.8 74.84 35.89 249.64 28.18 -183.73 183.65
321	0 -10.95 -15.89 9.937 170 0 -61.87 -0.8219 19.57 68.96 -145.2 -7.621 181.8 -57.87 13.98 91.09 -58.79 -41.43 64.37 313.75 34.02 -127.99 84.55 148.87 131.82 -89.16 18.58 180.88 59.9
322	0 6.443 3.222 -105.7 160 48.78 23.25 -0.8219 -102.3 92.6 -173.6 -29.11 272 -60.34 -10.32 1.308 -149.4 36.35 110.9 168.57 -359.92 NA 185.31 198.84 -199.01 -268.89 81.97 45.01 173.93
323	0 -8.89 -0.973 -5.669 140 -64.1 83.04 -10.25 173.9 -22.8 -165.5 337.6 167.5 131 131.2 -65.75 -137 227.6 106.8 66.32 -43.25 108.45 -30.24 -287.94 -251.35 231.81 216.83 204.16 -146.39
324	0 -1.067 -7.478 -0.4707 130 13.16 -31.37 -23.27 -7.218 37.56 -139 122.9 205.1 61.32 -69.31 -83.24 -106.8 152.7 91.49 12.09 108.72 -93.11 -24.34 -242.53 -28.82 198.61 54.58 160.89 -180.15
325	0 -2.489 -1.245 -47.78 210 -43.48 52.06 -10.25 99.05 -48.67 -160.8 37.87 319.4 64.49 -108.5 30.46 -162.4 35.56 234.6 -176.7 -329.54 205.02 190.49 165.65 -163.27 -264.36 -281.26 -222.98 -86.69
326	0 14.58 10.76 20.41 70 -78.13 -56.39 -55.83 79.87 -76.89 -24.05 -12.27 -68.27 -38.45 203.2 -17.64 -27.32 50.79 -59.7 -98.54 194.88 172.55 -119.42 -64.03 50.82 -52.7 -74.81 -233.03 -166.35
327	0 6.757 3.378 -63.27 60 -48.39 -58.77 -29.78 2.682 22.67 -30.81 49.86 -80.77 13.81 239.2 138 -79.76 91.78 -122.7 280.13 55.7 -227.11 95.14 -145.51 -148.07 127.28 336.43 527.62 185.92
328	0 -3.823 -1.911 -53.33 140 -25.64 72.43 9.544 102.6 -7.159 -189.4 130.7 139.9 -51.53 154.7 68.8 -126.8 75.19 93.18 -185.28 -128.3 302.87 -194.58 -6.26 146.91 77.57 83.47 344.51 29.72
329	0 32.87 20.01 5.601 50 -66.67 -80.05 -55.15 37.67 -24.57 -25.99 85.72 -85.16 42.87 126 -62.35 -37.99 31.23 -113.9 203.63 -129.99 -150.2 -118.51 -252.23 -250.78 -173.06 -57.95 62.16 69.36
330	0 0.7645 3.954 -12.77 140 12.82 63.78 -13.56 52.3 45.88 -173.3 91.77 230.6 29.53 18.02 76.01 -70.21 108.2 67.66 -257.85 122.21 407.77 -285.48 -93.76 269.8 -103.78 319.21 137.65 -180.74
331	0 NA 6.498 13.06 180 0 -3.268 -32.05 -20.71 42.71 -85.25 -13.04 213.6 -12.54 -49.14 91.14 -164.7 5.863 126.7 -281.06 -70.14 395.59 -301.39 234.62 75.44 -191.59 73.08 277.13 148.79
332	0 30.58 22.43 29.68 120 13.51 -42.2 -36.67 -0.9455 75.96 -82.37 5.097 104.6 -154.1 114 73.85 -92.85 9.244 42.86 -63.99 74.56 287.66 235.34 -343.87 214.59 218.41 -311.87 -41.57 -136.57
333	0 -0.7645 6.761 198.1 110 -138.9 -90.86 -69.02 228.4 -28.53 4.053 13.16 -75.07 42.87 85.18 246.1 -70.21 -55.01 -81.83 -58.87 266.5 258.16 -70.17 -28.69 -113.28 268.16 143.34 -173.67 -45.81
334	0 49.68 55.25 -106.1 50 -150 -55.8 -61.94 3.294 -46.18 3.903 -92.64 -76.09 -2.935 115.8 -18.56 3.403 -36.25 -100.5 -303.28 -338.49 -196.52 -296.43 -347.92 273.19 -14.13 -149.3 42.98 -169.97
335	0 0.8013 13.91 -96.63 150 0 129.2 -4.545 5.433 92.93 -148 207.2 255.6 158.7 -133.2 4.194 -52.5 238.2 77.44 230.55 -247.19 52.09 226.01 -357.51 320.46 52.29 81.7 190.96 -70.73
336	0 30.45 38.87 -81.9 210 10.87 76.72 -25.04 -65.87 106.2 -146.8 62.44 277.6 38.46 -93.88 87 -95.44 146.7 168.1 -327.79 -87.1 31.6 103.91 -238.56 198.83 296.55 333.61 537.22 44.12
337	0 50.48 42.13 -1.156 140 0 -23.1 -33.24 -12.22 69.74 -100.1 80.53 94.11 -89.67 112.5 107 -60.11 2.95 -0.3905 78.89 -242.82 152.99 50.6 182.04 -57.99 -221.18 281.77 -92.11 -217.01
338	0 62.5 54.9 88.92 50 -83.33 -70.43 -66.04 -27.72 -33.6 -1.19 20.44 -25.14 23.68 31.69 -1.266 -23.43 103.5 -106.5 28.88 -180.37 308.19 360.22 -251.53 25.55 263.92 298.94 96.76 -196.59
339	0 48.08 37.55 68.97 110 0 -73.02 -41.44 -38.24 55.17 -69.95 -3.47 48.38 -101.5 163.8 -65.88 -118.7 20.04 80.87 -239.36 -269.24 -262.91 -134.04 0.45 -89.4 -250.67 -252.2 -164.35 24.41
340	0 15.1 15.12 -21.33 40 -155.2 23.25 -51.22 165.3 -91.68 -17.24 146.6 -39.82 180.2 131.1 37.37 -33.46 87.71 -98.62 -54.58 272.73 154.45 -290.26 -152.03 274.19 107.97 -273.41 171.85 124.51
341	0 -0.3682 -0.1841 -65.98 120 -40.54 2.428 -22.01 65.83 -7.416 -142.1 59.65 198.9 10.4 11.67 13.95 -109.5 135.3 79.32 135.09 164.71 179.26 -4.22 154.91 -174.33 256.01 -134.15 565.18 -20.69
342	0 16.57 8.284 46.24 140 -38.46 -36.38 -26.88 100.7 9.573 -128.3 31.43 151.2 -58.1 76.08 84.89 -70.84 137.9 68.99 246.42 -60.07 129.21 274.09 -283.61 -115.36 -203.27 -275.93 544.49 172.1
343	0 34.98 25.06 68.46 30 -89.29 -52.48 -56.08 76.87 -20.33 -36.34 97.54 -67.68 53.09 153.9 -72.82 -63.62 44.54 -77.21 193.4 -219.14 59.15 -205.25 132.54 -250.38 -34.86 10.14 359.77 195.77
344	0 6.996 3.498 2.119 130 0 -4.198 -22.01 -6.434 92.48 -127.9 56.68 210.9 -5.482 -11.14 82.13 -132.9 135.3 23.21 -19.27 -256.44 -51.01 130.79 -131.68 258.12 7.07 110.66 52.11 95.08
345	0 0.3682 0.1841 -27.78 140 -38.46 37.45 -7.407 80.03 37.43 -184.3 220.1 133.3 63.02 70.71 -63.18 -101.4 175.8 97.78 138.48 -329.85 -217.85 -143.95 -125.41 -46.42 210.05 283.54 302.24 -117.27
346	0 17.59 26.2 4.882 70 -93.75 -34.15 -63.13 60.04 0.9585 -12.01 71.37 -9.478 112.9 157.1 -35.2 -18.65 -0.7244 -89.14 -217.25 186.14 -75.6 165.19 176.25 328.43 28.6 251.28 100.93 -8.89
347	0 -0.5331 1.316 NA 120 -13.51 -46.46 -46.82 -28.82 59.43 -32.49 -25.01 109.9 -35.93 -100.5 34.59 -24.9 13.56 -14.83 303.92 208.59 186.64 281.52 -80.32 149.47 264.3 212.85 387.27 162.17
348	0 5.33 10.58 -22.43 120 -40.54 -21.83 -38.66 73.07 20.13 -57.06 58.11 128.5 -89.09 89.21 8.603 -72.06 89.72 21.8 -92.89 71.95 -98.64 0.17 -173.3 248.23 -296.24 271.24 -99.69 61.92
349	0 -5.864 1.815 -8.723 130 -26.32 -66.97 -38.66 11.06 6.71 -119 -37.39 179.8 -23.78 -20.32 24.94 -109.6 -40 -4.368 -239.03 253.89 -135.31 173.7 -140.1 184.28 72.61 258.12 -221.6 -14.14
350	0 25.59 4.882 61.71 -90 -125 -57.74 -38.66 -113 -23.96 -10.47 -124 -7.709 -155.9 52.18 -60.45 51.8 84.96 55.29 41.85 251.66 162.07 -71.76 -88.54 61.73 77.07 163.48 224.38 60.34
351	0 7.463 21.14 -56.21 140 -38.46 -4.394 -14.19 89.09 -11.5 -141 166 142.6 6.604 42.93 -7.732 -135.7 129 54.24 -47.87 -146.16 73.97 -15.91 11.46 144.9 -153.47 264.54 512.38 -94.39
352	0 -6.071 -16.19 -2.279 140 -51.28 -47.18 -21.86 99.54 29.18 -60.7 1.316 156.7 -5.713 16.68 106.2 -61.79 59.07 62.58 -144.63 100.07 68.08 92.79 235.97 170.04 -322.21 122.08 575.76 -6.21
353	0 8.278 7.429 -6.408 160 0 -23.7 -38.76 -47.37 74.99 -77.1 47.47 189.4 -100.2 -18.27 70.75 -67.22 55.86 166.2 -157.53 -77.27 -84.42 187.39 92.42 -242.53 -182.46 318.23 309.65 -180.54
354	0 6.071 -0.2541 -36.14 110 -13.89 4.254 11.94 82.56 25.91 -135.3 178.8 116.6 -8.666 193 47.12 -81.9 201.1 -47.22 -310.24 34.32 -48.83 -142.67 -286.66 155.35 -28.3 127.35 -249.21 -158.26
355	0 9.934 14.84 -3.059 70 -62.5 -81.84 -64.12 66.1 -43.62 -59.2 -1.762 -24.74 44.48 161.2 20.11 -84.08 -10.33 -79.34 17.38 -359.07 -292.11 -74.86 -66.51 26.52 -65.55 154.78 333.57 0.1
356	0 25.27 27.79 2.418 140 -25.64 8.469 -28.93 123.8 -17.05 -155 116.3 196.4 78.2 110.5 61.72 -159.2 164.4 167.7 -102.23 76.61 80.82 -189.03 -70.76 -178.56 -234.54 -276.52 41.95 204.65
357	0 -3.415 -1.708 -15.15 140 -25.64 19.93 -3.528 46.26 -2.934 -106.7 140.9 203 58.96 71.45 7.14 -130.9 194.8 166.8 -19.74 95.78 396.75 -289.96 -309.06 -167.2 62.55 197.41 281.96 -133.94
358	0 32.79 27.76 11.32 30 -71.43 -65.08 -67.03 52.5 -21.08 -36.52 71.5 -19.65 57.48 68.32 12.52 -8.67 137.4 -43.96 -210.55 154.42 382.08 351.95 133.93 209.04 -177.69 -91 51.81 92.26
359	0 16.39 19.56 28.67 50 -66.67 -27.83 -41.63 202.8 -54.34 -31.26 59.19 -0.6781 16.05 191.9 23.28 -21.03 18.01 -48.55 269.71 -61.8 357.95 -292.04 275.04 210.94 100.16 -334.05 522.19 8.53
360	0 0 3.788 -8.18 140 -25.64 8.469 -22.58 26.6 -61.4 -83.46 18.88 208.8 -60.9 -22.38 -68.96 -130.5 1.613 98.07 259.05 -50.41 254.4 78.52 -29.64 45.54 246.07 1.15 219.45 -141.49
361	0 20.34 20.04 34.56 140 0 -59.5 -58.47 -30.68 45.76 -27.61 -82.82 38.66 -174.5 76.73 63.24 6.707 -85.06 -14.68 -135.43 121.32 -152.36 -178.66 -240 -212.63 279.88 -74.87 307.86 -66.51
362	0 4.593 NA -81.94 180 -23.26 80.79 -12.99 68.23 -9.615 -134.8 57.56 341.1 13.56 3.255 81.92 -138.8 120.6 195.5 10.65 -362.07 239.44 -266.7 242.3 148.76 -18.81 235.25 75.48 -244.75
363	0 2.625 1.312 -34.34 120 -13.51 -47.73 -32.48 29.5 64.93 -62.91 112.8 57.82 -16.71 112.8 68.49 -66.56 95.32 -13.85 228.7 292.61 132.91 -284.95 -252.8 260.25 -214.98 -259.17 348.55 -134.91
364	0 -8.53 2.314 9.337 230 10.42 -40.86 -32.48 -75.75 85.51 -172.3 3.166 185.3 -13.47 51.77 71.99 -173.2 -98.93 183.1 145.9 -280.57 -159.15 -190.42 109.7 168.74 NA -328.38 -244.85 -59.21
365	0 19.69 13.13 70.94 70 -62.5 0.3412 -51.97 97.03 -33.75 20.76 97.92 -3.821 18.97 139.1 15.37 5.212 91.23 -62.66 -320.31 209.11 327.04 268.42 87.27 182.81 7.55 -255.93 -12.32 -185.05
366	0 -5.236 -2.618 -55.43 140 -12.82 -18.44 -22.14 -4.849 31.89 -67.24 52.18 152.5 -86.04 38.09 -16.13 -7.078 -51.19 74.28 150.39 -354.58 -1.38 -279.04 285.47 24.02 38.7 102.37 152.81 118.82
367	0 35.34 25.48 34.46 180 -34.88 -91.07 -62.17 27.46 -10.92 -95.04 -127.9 86.99 -189.2 11.12 89.82 -59.83 -201.8 114.1 -36.43 -21.54 -177.63 -286.29 165.65 -109.2 149.68 -286.37 337.42 -242.93
368	0 15.05 15.34 22.05 100 -14.29 -51.35 -35.48 -7.885 -0.4369 -134 63.21 155.7 -16.82 73.14 -50.28 -123.4 112.8 10.89 -168.46 -184.31 222.41 -159.83 71.75 298.3 101.52 108.86 397.23 -9.41
369	0 11.78 -5.829 -0.5269 50 -50 -40 -22.14 -53.2 103.5 13.37 11.75 -64.39 48.16 92.01 80.99 21.85 23.55 -55.22 -298.8 -51.52 302.13 -262.32 33.31 -107.41 73.73 -37.3 452.2 164.44
370	0 -1.526e-05 -7.813 -6.964 140 -12.82 -55.89 -15.47 -36.94 149.8 -106.7 140.4 121.3 5.779 40.78 35.67 -105.8 130.7 115.9 -204.81 -188.27 262.23 -52.26 287.75 191.69 -323.27 90.59 -55.6 -5.96
371	0 -33.29 -16.64 -12.93 150 -37.5 6.932 -24.51 36.35 44.44 -46.56 139.5 10.23 34.04 206.8 136.7 -119.2 188.6 -64.39 249.09 -158.34 -129.7 77.67 251.41 209.86 271.68 -297 515.44 -229.47
372	0 -23.1 -17.1 -38.57 230 0 48.46 2.228 -21.64 61.49 -185.3 88.49 253.9 32.95 -81.97 33.74 -88.3 37.45 160.9 251.62 130.46 393.46 117.55 -77.65 193.77 85.62 -171.11 135.43 -212.84
373	0 8.832 21.08 16.34 160 0 -22.6 -44.57 -19.28 57.7 -133.7 45.96 124.6 -61.49 113.6 -63.72 -121.1 22.33 78.66 240.28 145.17 315.46 4.66 -360.82 -209.15 45.05 -279.64 90.13 -208.3
374	0 -35.33 -34.33 79.35 210 -10.87 13.39 -4.457 6.031 56.44 -108.1 -10.48 244.2 -122.3 -87.15 253.8 -159.5 99.95 84.27 276.55 -131.64 390.32 -200.95 68.55 -203.94 151.21 86.05 337.41 -237.32
375	0 12.23 3.336 -35.26 60 -48.39 -41.06 -57.94 -0.5919 69.07 -0.7682 112.5 -22.66 62.26 -45.7 15.96 -3.272 42.49 23.5 5.89 176.74 406.78 18.43 -248.54 -200.6 109.54 -98.55 480.66 -159.3
376	0 4.076 4.816 39.06 50 -83.33 17.08 -44.57 141.1 -62.31 -24.56 193.6 -43.58 160 118.8 -64.94 24.28 223.9 -17.64 71.29 -109.42 312.1 63.45 266.15 -38.17 -313.45 289.45 361.5 -153.67
377	0 19.23 9.615 5.913 50 -16.67 -116.3 -48.79 -77.35 99.22 -54.5 65.17 -97.62 124.8 11.69 29.11 -55.81 71.41 -17.53 192.96 -338.76 345.05 -153.38 -20.28 -124.06 -243.97 -239.13 267.31 -160.85
378	0 -5.828 0.2112 88.47 70 -62.5 -50.86 -40.53 152.5 -29.89 -57.07 68.1 -17.32 64.22 151.3 27.3 -95.66 2.942 -55.73 -155.94 -72.62 372.32 295.2 -127.56 -99.16 135.44 34.57 -36.17 -107.31
379	0 19.81 16.16 -72.76 130 -26.32 10.23 -32.28 49.45 -12.79 -101.3 69.08 260 2.18 -9.193 67.19 -103.1 97.65 183 -48.43 -100.18 -231.44 153.96 208.77 -130.25 272.5 249.21 539.66 -97.93
380	0 -1.526e-05 -7.629e-06 59.43 60 -32.26 -48.68 -65.29 -111.8 112.1 11.27 -0.2822 -35.52 -87.27 -11.8 49.97 1.051 5.224 -58.6 -309.65 108.98 -165.42 -208.19 -173.06 -17.8 6.09 -9.03 -59.87 -101.62
381	0 -14.33 -10.37 50.86 50 -50 -70.17 -47.18 13.47 -45.03 -30.35 35.48 -22.12 25.88 58.46 -43.76 -4.131 78.92 -30.3 -102.38 -125.63 -157.62 185.03 -55.96 68.17 155.12 126.04 450.46 148.91
382	0 9.748 11.28 -15.96 120 0 -15.17 -25.41 -1.765 49.79 -95.16 115.2 NA 45.24 107.6 -0.06002 -139.5 85.69 13.37 -138.65 26.73 15.62 83.4 -145.32 168.61 62.65 -5.92 -4.14 -47.36
383	0 -1.526e-05 -7.629e-06 2.778 80 -45.45 -53.67 -54.44 -10.41 -10.41 -4.134 0.3798 -11.36 -28.59 113 18.43 -17.02 -11.6 -42.56 172.57 -290.99 -159.19 -79.98 318.2 222.79 221.79 352.95 291.46 135.25
384	0 -38.99 -25.91 -21.06 110 -27.78 -38.27 -18.15 124.7 -18.69 -110.5 125.6 65.89 12.56 43.45 -64.77 -110.5 114.5 4.178 -301.45 174.54 193.23 -150.23 268.56 284.67 1.88 -319.11 382.95 191.41
385	0 2.542 13.77 -76.67 140 0 58.5 -15.85 0.03079 2.678 -174.2 -5.824 243.6 -26.58 -176.2 -146.9 -138.2 -67.44 319.6 222.07 138.96 79.06 -38.65 -108.8 -159.17 -308.62 150.07 -132.1 174.9
386	0 -2.542 7.062 -77.93 140 64.1 125.9 31.69 -66.53 67.31 -302 100.8 278.1 12.62 66.13 -108.7 -151.5 166.9 229.4 179.98 -257.38 14.72 178.67 264.49 15.97 82.84 340.25 110.29 -172.31
387	0 33.9 12.78 51.99 30 -107.1 -54.58 -68.66 110.5 -113.3 -48.44 53.52 34.94 15.12 -98.39 -165.2 -56.93 60.91 28.19 -246.78 -311.05 120.08 -326.8 -69.33 82.04 46.18 171.26 257.86 197.93
388	0 0 3.676 84.36 70 -93.75 16.93 -51.97 92.12 6.433 32.48 106.9 0.1393 26.44 105.2 64.75 15.96 66.64 -2.734 206.52 -77.23 50.01 215.42 151.96 3.36 103.82 -306.42 -247.92 -159.19
389	0 16.88 8.441 38.51 130 52.63 1.404 -31.23 -92.3 182.8 -101.7 38.44 165.7 -84.14 -60.74 106.2 -58.83 129.4 59.79 298.39 -19.1 334.51 -189.77 111.61 197.02 -305.11 -296.37 246.51 -195.98
390	0 33.76 24.23 -69.57 20 -55.56 -33.52 -41.6 -4.202 -27.4 -38.33 96.64 -27.45 111.7 169.3 -99.41 -19.09 116.9 -101 306.49 147.09 87.11 -1.81 -339.84 -59.91 -321.43 379.64 295.35 -151.83
391	0 52.33 43.6 45.08 30 -71.43 -58.69 -88.81 54.18 -39.83 14.89 40.27 1.491 23.07 44.94 -93.66 5.712 63.18 -38.56 274.07 -245.42 397.26 -87.44 -136.37 -3.71 53.97 352.03 596.65 -182.06
392	0 15.7 13.66 16.97 -110 -142.9 -27.99 -73.87 82.53 -86.33 45 21.79 -38.16 24 34.99 -56.21 67.19 -68.8 -68.25 -176.49 64.97 358.91 -137.65 143.57 264.97 167.59 -310.38 24.33 46.02
393	0 11.05 11.34 -15.89 160 36.59 -31.16 -29.06 -79.79 116.7 -150.5 77.22 72.76 -86.11 120.5 70.75 -145.5 113.2 88.44 128.57 -242.97 229.38 NA -277.47 238.97 102.39 -240.61 -183.15 -47.97
394	0 42.44 35.76 61.37 210 10.87 57.77 -44 -9.995 40.72 -123.3 -19.01 248.5 NA -180.9 14.89 -87.5 -56.97 219.6 -127.14 -297.97 342.71 341.28 -32.1 222.26 190.85 -70.51 -73.78 42.46
395	0 -3.488 -1.744 14.7 210 21.74 86.35 0.8118 -25.82 70.19 -158.8 35.65 256 -19.49 -182.9 20.6 -95.43 32.23 199.8 84.41 196.82 32.21 268.05 -108.8 318.97 -216.86 325.79 -71.03 -160.17
396	0 -1.526e-05 8.721 -34.14 160 48.78 53.53 -21.59 -102.5 135.7 -114.2 72.6 142.4 -176.8 132.5 54.88 -80.06 81.39 142 -310.08 -244.84 42.6 348.8 -85.84 57.26 41.09 -256.54 -143.87 -249.77
397	0 8.523 14.68 31.67 140 -38.46 -10.1 -11.07 84.78 39.43 -160.1 158.5 97.63 80.66 49.99 24.38 -155.7 163.5 96.28 131.47 -2.12 27.42 -322.58 243.16 221.93 -223.48 262.32 561.72 -231.82
398	0 38.83 29.83 108.4 60 -80.65 -96.26 -77.68 -14.26 21.09 3.163 33.55 -24.51 -14.59 21.53 11.43 1.965 139.5 -28.02 207.04 261.67 176.9 -173.81 -347.44 258.57 159.28 -220.08 380.43 1.39
399	0 9.47 20.36 1.098 180 0 37.19 0.6814 1.845 37.66 -173.1 22.7 223.8 -49.23 77.49 -6.215 -132.6 74.38 171.9 -182.07 302.06 252.51 361.76 -63.86 308.24 259.15 4.13 263.27 49.31
400	0 -3.788 3.314 -39.88 190 -11.36 -9.046 -3.237 10.79 6.291 -136 2.892 198.2 33.9 -35.39 -33.28 -79.59 23.22 146.9 187.14 -36.68 -299.88 -279.79 276.55 -154.94 -217.51 254.64 469.04 192.46
401	0 17.05 8.523 -57.77 170 35.71 -36.37 16.35 -34.96 61.92 -241.7 2.892 181.2 54.69 13.94 -38.57 -84.63 84.45 115.9 -213.76 -75.25 -273.89 59.36 -206.57 -205.74 287.49 -257.3 442.76 -1.15
402	0 -23.89 -15.85 -122.5 180 -23.26 203.8 47.5 62.04 59.82 -226.6 222.5 204.6 86.41 95.59 65.86 -176.7 36.66 113.6 -27 -19.3 -247.18 263.26 -342.69 -6.12 -4.99 -185.94 22.08 183.22
403	0 35.84 21.82 50.64 60 -80.65 -75.77 -64.26 87.6 19.77 -18.22 121.6 -21.59 99.3 112.1 -10.52 -11.51 139 -66.29 280.77 -245.79 -284.62 -341.62 -170.19 -267.79 -245.23 370.68 -44.44 160.92
404	0 27.3 17.56 51.96 20 -129.6 25.35 -64.26 139.1 -64.21 14.81 155.6 -3.344 101.7 59.18 14.75 22.66 174.3 -62.68 303.31 -316.02 -221.04 331.7 114.22 197.74 267.14 287.1 607.06 125.1
405	0 -8.532 -4.266 -77.49 130 13.16 122.9 19.56 40.56 -38.37 -270.7 30.07 196.9 20.33 187.5 -62.75 -196.2 30.03 157.7 -84.88 -321.95 181.67 -83.62 -354.17 299.32 201.34 59.6 -169.85 139.06
406	0 -3.738 -4.273 55.86 230 10.42 18.43 -36.29 -90.94 139.6 -123.5 39.12 192.3 55.16 -65.57 89.84 -165.8 91.9 146.2 165.5 -344.99 -64.72 -203.54 -319.28 -267.05 -286.25 331.77 450.15 203.49
407	0 0 7.212 56.54 130 0 61.81 -36.29 115.7 37.43 -111.3 173.2 114.5 17.09 54.95 26.15 -100.9 132.7 44.24 -301.77 207.21 226.01 169.23 -334.55 93.54 72.21 365.33 568.34 -68.58
